深圳市利朗达	外贸美工	深圳 龙华区 民治	深圳龙华区民治1970科技园8栋5楼
健安医药	外贸员	深圳 福田区 华强北	深圳福田区深圳健安医药有限公司(同福路)
跃科达	外贸产品编辑	深圳 福田区 园岭	深圳市 福田区 八卦一路 614栋8楼
恒新泰	外贸经理	深圳 宝安区 松岗	深圳宝安区星辉工业城(燕罗公路)8栋4楼
喜荣家私	外贸经理助理	深圳 龙岗区 坪地	深圳市  广东省深圳市龙岗区坪地街道六联社区长山工业区10号
深圳正峰	外贸业务	深圳 宝安区 福永	深圳市 宝安区 深圳正峰印刷有限公司(兴华路) 兴华路宝安大道6042号
五轮电子	外贸经理	深圳 宝安区 福永	深圳市 宝安区 深圳五轮电子有限公司
MOSO	外贸经理	深圳	深圳南山区茂硕科技园
奥玛斯科技	外贸经理	深圳 福田区 华强南	深圳福田区福侨大厦A座7楼A房间
泽汇科技	外贸业务员	深圳 龙岗区 坂田	深圳龙岗区坂田集团商务中心
兴未来科技	外贸经理	深圳	深圳南山区深圳市南岗第二工业园13栋5楼
多乐电子有限公司	外贸经理	深圳 宝安区 西乡	深圳宝安区西乡固戍二路田心工业区A栋一楼多乐声电子
华科莱特	外贸经理	深圳 宝安区 西乡	深圳宝安区华丰第一科技园A区5栋5楼
轲轲西里	外贸经理	深圳 宝安区 石岩	深圳宝安区深圳市轲轲西里科技有限公司应人石文韬科技园A栋3楼
优宜得	外贸助理	深圳 宝安区 西乡	深圳宝安区华丰智慧创新港B座一楼
有棵树	外贸业务员	深圳 龙岗区 平湖	广东省深圳市龙岗区平湖华南城一号交易广场6A
燕加隆	外贸经理	深圳	深圳龙岗区金苹果创新园B栋2 3 4 9层甘李二路9号
源德盛塑胶电子	外贸专员	深圳 龙华区 大浪	深圳龙华区英泰工业区联合党支部
海曼	外贸经理	深圳 龙华区 观澜	深圳龙华区龙华区观澜悦兴围社区福前路84号海曼工业园
杰安迪科技	外贸产品开发	深圳 龙华区 龙华	深圳市 龙华区 大浪街道 高峰社区民生工业园5栋B座402室
铂胜光电	外贸专员/助理	深圳 福田区 景田	深圳福田区深圳特区报业大厦30
DAKCO	外贸经理	深圳 宝安区 石岩	深圳宝安区创维数字大厦801b
深圳瑞吉斯电子	外贸助理	深圳 龙华区 龙华	深圳市 龙华区 兴龙富创客园
普拓	亚马逊 外贸助理	深圳 龙岗区 横岗	深圳龙岗区埔厦路53号（恒鸿创意园）
宝视佳科技	外贸	深圳 龙华区 龙华	深圳龙华区深圳市龙华新区东环一路安锦恒工业园28栋
欧特莩	外贸专员	深圳 龙华区 龙华	深圳龙华区光多耀创新产业园A301
固尔琦	外贸文案编辑	深圳 龙华区 龙华	深圳市 龙华区 深圳固尔琦包装机械有限公司
